,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20
Age 0,0.999988,1.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,1.15E-05,0.999977,1.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,2.30E-10,0.0161425,0.967715,0.0161425,2.30E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 3,3.18E-12,1.15E-05,0.0763062,0.847364,0.0763062,1.15E-05,3.18E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 4,3.36E-13,7.74E-08,0.00069669,0.140823,0.71696,0.140823,0.00069669,7.74E-08,3.36E-13,0,0,0,0,0,0,0,0,0,0,0,0
Age 5,8.43E-14,2.58E-09,1.15E-05,0.00515152,0.189977,0.60972,0.189977,0.00515152,1.15E-05,2.58E-09,8.43E-14,0,0,0,0,0,0,0,0,0,0
Age 6,3.31E-14,2.30E-10,4.51E-07,0.00019663,0.0159455,0.220835,0.526045,0.220835,0.0159455,0.00019663,4.51E-07,2.30E-10,3.32E-14,0,0,0,0,0,0,0,0
Age 7,1.69E-14,3.81E-11,3.53E-08,1.15E-05,0.00114713,0.0319543,0.236549,0.460675,0.236549,0.0319543,0.00114713,1.15E-05,3.53E-08,3.81E-11,1.69E-14,0,0,0,0,0,0
Age 8,1.02E-14,9.52E-12,4.63E-09,1.05E-06,9.97E-05,0.00368814,0.0500914,0.241704,0.408832,0.241704,0.0500914,0.00368814,9.97E-05,1.05E-06,4.63E-09,9.52E-12,1.02E-14,0,0,0,0
Age 9,6.84E-15,3.17E-12,8.91E-10,1.40E-07,1.14E-05,0.000451281,0.00827366,0.0675813,0.24019,0.366984,0.24019,0.0675813,0.00827366,0.000451281,1.14E-05,1.40E-07,8.91E-10,3.17E-12,6.88E-15,0,0
Age 10,4.98E-15,1.30E-12,2.29E-10,2.55E-08,1.70E-06,6.48E-05,0.0013457,0.0147303,0.0827874,0.234758,0.332625,0.234758,0.0827874,0.0147303,0.0013457,6.48E-05,1.70E-06,2.55E-08,2.29E-10,1.30E-12,5.00E-15
Age 11,3.83E-15,6.20E-13,7.31E-11,5.97E-09,3.24E-07,1.12E-05,0.000238385,0.00303119,0.0224543,0.0950855,0.227191,0.303977,0.227191,0.0950855,0.0224543,0.00303119,0.000238385,1.12E-05,3.24E-07,5.97E-09,7.37E-11
Age 12,3.08E-15,3.32E-13,2.77E-11,1.71E-09,7.57E-08,2.32E-06,4.78E-05,0.000646588,0.00561487,0.0307265,0.104482,0.218598,0.279765,0.218598,0.104482,0.0307265,0.00561487,0.000646588,4.78E-05,2.32E-06,7.74E-08
Age 13,2.56E-15,1.95E-13,1.21E-11,5.79E-10,2.11E-08,5.65E-07,1.09E-05,0.00014924,0.0014082,0.00903856,0.0389258,0.111291,0.20965,0.259053,0.20965,0.111291,0.0389258,0.00903856,0.0014082,0.00014924,1.15E-05
Age 14,2.18E-15,1.23E-13,5.84E-12,2.24E-10,6.79E-09,1.60E-07,2.85E-06,3.79E-05,0.00036993,0.00260852,0.0131232,0.0466112,0.115931,0.200741,0.241149,0.200741,0.115931,0.0466112,0.0131232,0.00260852,0.000410854
Age 15,1.90E-15,8.24E-14,3.09E-12,9.69E-11,2.48E-09,5.12E-08,8.36E-07,1.06E-05,0.000103934,0.000770113,0.00427748,0.0176343,0.0535204,0.118822,0.192097,0.225525,0.192097,0.118822,0.0535204,0.0176343,0.00516305
Age 16,1.68E-15,5.78E-14,1.76E-12,4.60E-11,1.01E-09,1.84E-08,2.74E-07,3.29E-06,3.15E-05,0.00023787,0.00140192,0.00638875,0.022337,0.0595322,0.12034,0.183838,0.211778,0.183838,0.12034,0.0595322,0.0304007
Age 17,1.51E-15,4.22E-14,1.07E-12,2.36E-11,4.49E-10,7.26E-09,9.86E-08,1.11E-06,1.03E-05,7.77E-05,0.000472644,0.00229835,0.00887323,0.0270284,0.064624,0.120797,0.17602,0.199594,0.17602,0.120797,0.103386
Age 18,1.38E-15,3.18E-14,6.82E-13,1.30E-11,2.16E-10,3.13E-09,3.88E-08,4.09E-07,3.64E-06,2.70E-05,0.000166001,0.000839525,0.00346844,0.0116375,0.0315513,0.0688339,0.12045,0.168662,0.188721,0.168662,0.236977
Age 19,1.26E-15,2.46E-14,4.55E-13,7.54E-12,1.11E-10,1.45E-09,1.65E-08,1.62E-07,1.38E-06,9.97E-06,6.11E-05,0.000315539,0.00136286,0.00489839,0.0145806,0.0357956,0.072234,0.119499,0.16176,0.178963,0.410519
Age 20,1.17E-15,1.95E-14,3.15E-13,4.61E-12,6.08E-11,7.16E-10,7.50E-09,6.91E-08,5.58E-07,3.91E-06,2.37E-05,0.000122961,0.000545603,0.00205666,0.00655645,0.0176065,0.0396921,0.0749116,0.118104,0.155298,0.585078
